show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s4,Movie,9,Shane Acker,"Elijah Wood, John C. Reilly, Jennifer Connelly, Christopher Plummer, Crispin Glover, Martin Landau, Fred Tatasciore, Alan Oppenheimer, Tom Kane",United States,2017-11-16,2009,PG-13,80 min,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy","In a postapocalyptic world, rag-doll robots hide in fear from dangerous machines out to exterminate them, until a brave newcomer joins the group."
s1557,Movie,Curtiz,Tamas Yvan Topolanszky,"Ferenc Lengyel, Evelin Dobos, Declan Hannigan, Scott Alexander Young, József Gyabronka, Nikolett Barabas, Yan Feldman, Rafael Feldman, Christopher Krieg, Andrew Hefler, Lili Bordán",Hungary,2020-03-25,2018,TV-MA,99 min,"Dramas, International Movies","Driven and arrogant, film director Michael Curtiz deals with studio politics and family drama during the troubled production of ""Casablanca"" in 1942."
s6219,Movie,The Christmas Chronicles,Clay Kaytis,"Kurt Russell, Darby Camp, Judah Lewis, Kimberly Williams-Paisley, Oliver Hudson, Lamorne Morris, Martin Roach",United States,2018-11-22,2018,TV-PG,104 min,"Children & Family Movies, Comedies","After accidentally crashing Santa's sleigh, a brother and sister pull an all-nighter to save Christmas with a savvy, straight-talking St. Nick."
s3166,Movie,"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",Chris Smith,Jim Carrey,"Canada, United States",2017-11-17,2017,TV-MA,94 min,Documentaries,"Through the lens of his stunningly immersive performance as Andy Kaufman, Jim Carrey ponders the meaning of life, reality, identity and career."
s6663,Movie,The Meyerowitz Stories (New and Selected),Noah Baumbach,"Adam Sandler, Ben Stiller, Dustin Hoffman, Elizabeth Marvel, Grace Van Patten, Emma Thompson, Candice Bergen, Rebecca Miller, Danny Flaherty, Sakina Jaffrey, Adam David Thompson",United States,2017-10-13,2017,TV-MA,113 min,"Comedies, Dramas, Independent Movies",Grudges and rivalries abound as three adult siblings converge in New York to contend with their prickly artist father – and his fading legacy.
s4277,Movie,Mumbai Cha Raja,Manjeet Singh,"Rahul Bairagi, Arbaaz Khan, Tejas Parvatkar, Dhanshree Jain, Salman Khan, Aftab Khan",India,2016-11-15,2012,TV-MA,77 min,"Dramas, Independent Movies, International Movies","This coming-of-age tale follows Rahul, a young boy growing up in a Mumbai slum whose alcoholic father abuses him and his mother."
s5551,Movie,Shawn Mendes: Live in Concert,Paul Dugdale,Shawn Mendes,"United Kingdom, United States",2020-11-25,2020,TV-PG,87 min,Music & Musicals,"In his hometown of Toronto, Shawn Mendes pours his heart out on stage with a live performance in a stadium packed with adoring fans."
s4633,Movie,Once Upon a Time in London,Simon Rumley,"Leo Gregory, Terry Stone, Doug Allen, Andy Beckwith, Kate Braithwaite, Holly Earl, Joe Egan, Nadia Forde",United Kingdom,2020-04-15,2019,TV-MA,111 min,"Dramas, International Movies","Organized crime came to London in the 1930s, ushering in three decades ruled by two legendary gangsters whose legacy outlived their reign."
s920,Movie,Bill Hicks: One Night Stand,John Fortenberry,Bill Hicks,United Kingdom,2018-12-31,1991,TV-MA,28 min,Stand-Up Comedy,"Bill Hicks remembers a wild night in 1989 and offers his views on puffing cigarettes, smoking weed, drinking, sex, commercials and music."
s3310,Movie,Karthik Calling Karthik,Vijay Lalwani,"Farhan Akhtar, Deepika Padukone, Ram Kapoor, Vivan Bhatena, Vipin Sharma, Yatin Karyekar, Shefali Shah",India,2019-12-15,2010,TV-14,135 min,"Dramas, International Movies, Thrillers","Unlucky in love and bullied at work, an office drone is resigned to his dead-end life until it’s transformed by mysterious calls from … himself."
