show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s3291,Movie,Kal Ho Naa Ho,Nikkhil Advani,"Shah Rukh Khan, Saif Ali Khan, Preity Zinta, Jaya Bhaduri, Sushma Seth, Reema Lagoo, Lillete Dubey, Delnaaz Paul",India,2020-04-01,2003,TV-14,187 min,"Comedies, Dramas, International Movies",An uptight MBA student falls for the charismatic new neighbor who charms her troubled family – but he has a secret that forces him to push her away.
s6756,Movie,The Photographer Of Mauthausen,Mar Targarona,"Mario Casas, Richard van Weyden, Alain Hernández, Adrià Salazar, Eduard Buch, Stefan Weinert, Rubén Yuste, Nikola Stojanovic, Frank Feys, Marc Rodríguez, Albert Mora, Luka Peros, Rainer Reiners, Toni Gomila, Emilio Gavira, Macarena Gómez",Spain,2019-02-23,2018,TV-MA,110 min,"Dramas, International Movies",A Catalán prisoner at a Nazi concentration camp uses his office job to steal photo negatives of the atrocities committed there. Based on true events.
s7559,Movie,What Lies Beneath,Robert Zemeckis,"Harrison Ford, Michelle Pfeiffer, Diana Scarwid, Joe Morton, James Remar, Miranda Otto, Wendy Crewson, Ray Baker, Micole Mercurio, Amber Valletta, Sloane Shelton",United States,2020-01-01,2000,PG-13,130 min,"Horror Movies, Thrillers","When Claire Spencer starts hearing ghostly voices and seeing spooky images, her husband tries to reassure her by telling her it's all in her head."
s5436,TV Show,Schulz Saves America,Alexx Media,Andrew Schulz,United States,2020-12-17,2020,TV-MA,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies",Comedian Andrew Schulz takes on the year's most divisive topics in this fearlessly unfiltered and irreverent four-part special.
s623,Movie,Aurora,Cristi Puiu,"Cristi Puiu, Clara Voda, Catrinel Dumitrescu, Luminita Gheorghiu, Valentin Popescu, Gheorghe Ifrim, Ileana Puiu, Valeria Seciu, Gelu Colceag","Romania, France, Switzerland, Germany",2020-03-04,2010,TV-MA,186 min,"Dramas, International Movies","42-year-old Viorel, a distraught engineer, takes drastic measures to end his emotional suffering after enduring a devastating divorce."
s590,Movie,Article 15,Anubhav Sinha,"Ayushmann Khurrana, Nassar, Manoj Pahwa, Kumud Mishra, Isha Talwar, Sayani Gupta, Mohammed Zeeshan Ayyub, Subhrajyoti Barat, Sushil Pandey, Aakash Dabhade",India,2019-09-06,2019,TV-MA,125 min,"Dramas, International Movies, Thrillers",The grim realities of caste discrimination come to light as an entitled but upright city cop ventures into India’s heartland to investigate a murder.
s1674,Movie,Death of Me,Darren Lynn Bousman,"Maggie Q, Luke Hemsworth, Alex Essoe, Ingkarat Jaraswongkosol, Kelly B. Jones, Caledonia Burr","United States, Thailand",2021-01-16,2020,R,94 min,Horror Movies,"With no memory of the previous night, a vacationing couple uncovers a disturbing personal video that inexplicably shows one of them killing the other."
s2446,Movie,Go Karts,Owen Trevor,"William Lodder, Anastasia Bampos, Darius Amarfio-Jefferson, Richard Roxburgh, Frances O'Connor, Dan Wyllie, Cooper van Grootel, Damian de Montemas, Adam T. Perkins",Australia,2020-03-13,2020,TV-PG,103 min,"Children & Family Movies, Dramas","A fearless teen leans into the rush of high-speed go-kart racing, backed by good friends — and a surly ex-driver who becomes his coach."
s2712,Movie,Heroine,Madhur Bhandarkar,"Kareena Kapoor, Arjun Rampal, Randeep Hooda, Divya Dutta, Govind Namdeo, Sanjay Suri, Mugdha Godse, Shahana Goswami, Ranvir Shorey, Lillete Dubey",India,2018-11-01,2012,TV-MA,143 min,"Dramas, International Movies",One woman experiences the dramatic highs and lows of fame in this voyeuristic glimpse past the glitz and glamour of a Bollywood superstar's life.
s6994,Movie,The Wedding Party 2: Destination Dubai,Niyi Akinmolayan,"Enyinna Nwigwe, Daniella Down, Banky Wellington, Adesua Etomi, Somkele Iyamah, Iretiola Doyle, Sola Sobowale, Michael De Pinna, Lynita Crofford, Patience Ozokwor",Nigeria,2019-09-21,2017,TV-14,98 min,"Comedies, International Movies, Romantic Movies","In this sequel to the 2016 hit ""The Wedding Party,"" a couple's date night ends in an accidental proposal, sparking a series of chaotic family events."
s296,Movie,Across Grace Alley,Ralph Macchio,"Ben Hyland, Marsha Mason, Karina Smirnoff, Colin Branca, Ralph Macchio, Tricia Paoluccio",United States,2016-12-01,2013,TV-PG,24 min,Dramas,"A young boy, upset by his parents' divorce, becomes infatuated with his grandmother's neighbor, an entrancing dancer he watches through a window."
s6651,Movie,The Matrix Revolutions,"Lilly Wachowski, Lana Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Jada Pinkett Smith, Mary Alice, Harold Perrineau, Monica Bellucci, Harry Lennix, Lambert Wilson, Nona Gaye",United States,2019-11-01,2003,R,129 min,"Action & Adventure, Sci-Fi & Fantasy",The final installment in the Matrix trilogy finds an unconscious Neo trapped in a subway station in a zone between the Matrix and the machine world.
s2292,Movie,From A to B,Ali F. Mostafa,"Fahad Albutairi, Shadi Alfons, Fadi Rifaai, Samer al Masri, Wonho Chung, Leem Lubany, Maha Abou Ouf, Ahd, Yousra El Lozy, Ali Suliman, Khaled Abol Naga, Madeline Zima","United Arab Emirates, Jordan, Lebanon",2020-06-11,2014,TV-MA,104 min,"Comedies, Dramas, International Movies","To celebrate the memory of their pal who passed away, three estranged friends attempt to reconnect on an eventful road trip from Abu Dhabi to Beirut."
s4211,Movie,"Monty Python Live (Mostly): One Down, Five to Go",Eric Idle,"John Cleese, Terry Gilliam, Eric Idle, Terry Jones, Michael Palin",United Kingdom,2018-10-02,2014,TV-MA,137 min,Comedies,"Live from London in a sold-out final show, surviving members of the British comedy troupe reprise old roles and break out in irreverent song and dance."
s2258,Movie,Franco Escamilla: Bienvenido al mundo,Ulises Valencia,Franco Escamilla,Mexico,2019-04-17,2019,TV-MA,54 min,Stand-Up Comedy,"Comedian Franco Escamilla shares stories about parenting his children when they get into trouble, with reflections on gender, friendship and romance."
s4646,Movie,One Last Shot,Mike Clattenburg,"Robb Wells, John Paul Tremblay, John Dunsworth",Canada,2018-08-24,1998,TV-MA,31 min,Comedies,"In this low-budget short film, two best buddies meet up for a night of booze-fueled fun before one of them moves to Vancouver."
s267,Movie,Aajcha Divas Majha,Chandrakant Kulkarni,"Sachin Khedekar, Ashwini Bhave, Mahesh Manjrekar, Hrishikesh Joshi, Satish Alekar, Sunil Tawde, Pushkar Shrotri, Anand Ingle",India,2018-01-01,2013,TV-PG,126 min,"Comedies, Dramas, International Movies",A conscientious politician helps an elderly singer overcome the obstacles placed in his path a by a powerful bureaucracy.
s696,Movie,Bad Match,David Chirchirillo,"Jack Cutmore-Scott, Lili Simmons, Brandon Scott, Chase Williamson, Noureen DeWulf, Seth Morris, Christine Donlon, Trent Haaga, Kahyun Kim, Cynthia Rose Hall, Zedrick Restauro, Eric Podnar","Singapore, United States",2018-03-11,2017,TV-MA,83 min,Thrillers,A player who uses the internet to facilitate his womanizing ways is tormented when he spurns a persistent woman who won't take no for an answer.
s211,Movie,A Night at the Roxbury,John Fortenberry,"Will Ferrell, Chris Kattan, Dan Hedaya, Molly Shannon, Richard Grieco, Loni Anderson, Elisa Donovan, Gigi Rice, Lochlyn Munro, Dwayne Hickman",United States,2019-12-01,1998,PG-13,82 min,"Comedies, Cult Movies","After a run-in with Richard Grieco, dimwits Doug and Steve gain entry to a swanky nightclub in this comedy based on a ""Saturday Night Live"" sketch."
s6600,Movie,The Little Hours,Jeff Baena,"Alison Brie, Dave Franco, Kate Micucci, Aubrey Plaza, John C. Reilly, Molly Shannon, Fred Armisen, Jemima Kirke, Lauren Weedman, Nick Offerman, Paul Reiser, Adam Pally, Paul Weitz, Jon Gabrus","Canada, United States",2018-12-23,2017,R,89 min,"Comedies, Independent Movies",Life at a convent takes an unruly turn when three unconventionally opinionated nuns cross paths with a tempting new gardener.
s2710,Movie,Heroes Wanted,Joaquín Mazón,"María León, Miki Esparbé, Jordi Sánchez, Andoni Agirregomezkorta, Juan Carlos Aduviri, Sílvia Abril, Carlos Areces, Joaquín Reyes",Spain,2017-02-01,2016,TV-MA,97 min,"Action & Adventure, Comedies, International Movies","When its special ops agency is wiped out, Spain hastily assembles a new team to defuse a terrorist plot. But who are these scrappy would-be heroes?"
s3844,Movie,Madagascar: Escape 2 Africa,"Eric Darnell, Tom McGrath","Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith, Sacha Baron Cohen, Cedric the Entertainer, Andy Richter, Bernie Mac, Alec Baldwin, Sherri Shepherd",United States,2020-05-01,2008,PG,91 min,"Children & Family Movies, Comedies","A botched rescue strands Alex the lion and his companions in Africa. Sadly, Alex discovers he has little in common with the locals."
s7386,TV Show,Valeria,Inma Torrente,"Diana Gómez, Silma López, Paula Malia, Teresa Riott, Maxi Iglesias, Ibrahim Al Shami",Spain,2020-05-08,2020,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","A writer in creative and marital crises finds support from three friends, who are also discovering themselves. Based on the novels by Elísabet Benavent."
s1014,Movie,Bob's Broken Sleigh,Jay Surridge,"Cole Howard, Bruce Greenwood, Victor Garber, Michael Adamthwaite, Raini Rodriguez, Colin Murdock, Maryke Hendrikse, Sam Vincent, Gabe Khouth",Canada,2015-12-17,2015,TV-G,47 min,Children & Family Movies,"An overly eager elf improves Santa's sleigh, but when he crash lands far from home, three odd critters pitch in to send him back to the North Pole."
s4098,Movie,Mile 22,Peter Berg,"Mark Wahlberg, Lauren Cohan, Iko Uwais, John Malkovich, Ronda Rousey, Carlo Alban, Sam Medina, Terry Kinney, Nikolai Nikolaeff, Natasha Goubskaya","United States, China, Colombia",2020-11-01,2018,R,94 min,Action & Adventure,"An officer in a top-secret CIA unit leads his team in escorting a prized intelligence asset to safety, with enemy forces hot on their trail."
s1671,Movie,Death Can Wait,Fernando Ayllón,"Ricardo Quevedo, Nelson Polanía, Liss Pereira, Brian Moreno, Ana Cristina Botero, Jairo Ordóñez, Luis Alberto Saavedra, Blanca Ligia Franco, Marianne Schaller Romero, Shirley Marulanda",Colombia,2020-05-02,2020,TV-14,91 min,"Comedies, International Movies","After learning he may die soon, a modest accountant pulls off a shady money scheme and heads to Europe, where he's faced with a life-or-death situation."
s6339,Movie,The Exception,David Leveaux,"Lily James, Jai Courtney, Christopher Plummer, Janet McTeer, Ben Daniels, Eddie Marsan, Anton Lesser, Mark Dexter, Kris Cuppens","United Kingdom, United States",2019-07-26,2016,R,107 min,"Dramas, Romantic Movies","During World War II, a Nazi officer charged with protecting an exiled Kaiser Wilhelm II from spies begins a steamy affair with a secretive Dutch maid."
s2327,Movie,Gabbar Is Back,Krish,"Akshay Kumar, Shruti Haasan, Sunil Grover, Kareena Kapoor, Ishita Vyas, Suman Talwar, Jaideep Ahlawat, Shruti Bapna",India,2020-07-05,2015,TV-14,128 min,"Action & Adventure, Dramas, International Movies","After a vengeful college professor targets corruption in the government, he adopts the name ""Gabbar"" and becomes a hero to a weary public."
s4156,Movie,Mo Gilligan: Momentum,Chris Howe,Mo Gilligan,United Kingdom,2019-09-30,2019,TV-MA,64 min,Stand-Up Comedy,"Comedian Mo Gilligan blends smooth moves and sharp humor as he riffs on humble beginnings, family dynamics and the complex art of dancing in the club."
s4969,Movie,Pretville,Linda Korsten,"Marlee van der Merwe, Eugene Jensen, Marno van der Merwe, Lizelle de Klerk, Steve Hofmeyr, Sanet Ackermann, Terence Bridgett, Annette Engelbrecht, Rina Nienaber, Lizz Meiring",South Africa,2020-02-20,2012,TV-PG,95 min,"Comedies, International Movies, Music & Musicals",A farm boy and a greaser pluck at the heartstrings of their town's most beloved daughter while her mom faces old feelings when a pop star comes home.
s7515,Movie,We're No Animals,Alejandro Agresti,"John Cusack, Paul Hipp, Kevin Morris, Alejandro Agresti, Mario Alarcón, Norman Briski, Lucila Solá, Juana Viale, Pablo Bossi, Leticia Brédice","United States, Argentina",2017-08-15,2015,TV-MA,94 min,"Comedies, Dramas, Independent Movies","Unhappy with his commercial film work, a jaded Hollywood actor moves to Argentina to participate in an experimental thesis on social philosophy."
s2624,Movie,Hard Tide,"Robert Osman, Nathanael Wiseman","Nathanael Wiseman, Mem Ferda, Alexandra Newick, Oliver Stark, Kat Gellin, Andy Lucas, Ralph Brown, Beverly Hills",United Kingdom,2017-09-06,2015,TV-MA,79 min,"Dramas, Independent Movies",A drug dealer who's been emulating his father's successful criminal career is forced to go on the run with a young girl in this fact-based thriller.
s465,Movie,American Hangman,Wilson Coneybeare,"Donald Sutherland, Vincent Kartheiser, Oliver Dennis, Paul Braunstein, Paul Amato, Matt Baram, Dan Beirne, Joanne Boland, Jamie Jacqueline Burns, Alexander Crowther",Canada,2019-07-30,2019,TV-MA,99 min,Thrillers,"A judge’s kidnapping is streamed live on social media, as a vengeful loner puts him on trial for supposedly sending an innocent man to his death."
s7566,Movie,What the Jatt!!,Saket Behl,"Harish Verma, Isha Rikhi, Vipul Roy, Binnu Dhillon, Poonam Rajput, B.N. Sharma, Satti Sembi",India,2018-10-01,2015,TV-PG,140 min,"Comedies, International Movies, Romantic Movies","A peasant from Punjab and his best friend pose as detectives, filmmakers and more while trying to retrieve stolen money in this romantic comedy."
s2141,Movie,Feel Rich,Peter Spirer,"Quincy Jones, Common, Russell Simmons, Fat Joe, Paul Wall, Quincy Jones III",United States,2017-08-23,2017,TV-MA,70 min,Documentaries,"Talking squarely to the hip-hop generation, musicians, athletes and others outline the benefits of exercise, a healthy diet and spiritual wellness."
s5602,Movie,Sigaram Thodu,Gaurav Narayanan,"Vikram Prabhu, Sathyaraj, Monal Gajjar, Sathish, Erode Mahesh, Gaurav Narayanan",India,2018-11-01,2014,TV-14,141 min,"Dramas, International Movies, Thrillers",A policeman's son overcomes his reluctance to join the force following a brutal attack on his father and ends up in the middle of a robbery case.
s6070,Movie,The Adventures of Tintin,Steven Spielberg,"Jamie Bell, Andy Serkis, Daniel Craig, Nick Frost, Simon Pegg, Daniel Mays, Gad Elmaleh, Toby Jones, Joe Starr","United States, New Zealand, United Kingdom",2019-11-20,2011,PG,107 min,Children & Family Movies,"This 3-D motion capture adapts Georges Remi's classic comic strip about the adventures of fearless young journalist Tintin and his trusty dog, Snowy."
s1361,Movie,Christina P: Mother Inferior,Jay Karas,Christina Pazsitzky,United States,2017-10-10,2017,TV-MA,59 min,Stand-Up Comedy,"Christina Pazsitzky hits Seattle with a biting dose of reality, telling truths about her childhood, getting older and the horrors of giving birth."
s3318,Movie,Katha,Sai Paranjape,"Farooq Shaikh, Naseeruddin Shah, Deepti Naval, Veeni Paranjape Joglekar, Mallika Sarabhai, Arun Joglekar",India,2019-12-31,1982,TV-PG,140 min,"Comedies, Dramas, Independent Movies","Secretly in love with his neighbor, a mild-mannered clerk is heartbroken when his much bolder, more charming friend wins her heart instead."
s6821,Movie,The Rift: The Dark Side of the Moon,Dejan Zečević,"Ken Foree, Katarina Čas, Dragan Mićanović, Monte Markham, Denis Murić, Miroljub Lešo, Sonja Vukićević, Ratko Turčinović, Mick Garris","Serbia, South Korea, Slovenia",2018-02-26,2016,TV-MA,92 min,"Horror Movies, Independent Movies, Sci-Fi & Fantasy","When a team of special agents is sent to recover the wreckage of a downed satellite in Serbia, their mission takes a horrifying turn."
s1547,Movie,"Crouching Tiger, Hidden Dragon",Ang Lee,"Chow Yun Fat, Michelle Yeoh, Zhang Ziyi, Chang Chen, Lung Hsiung, Cheng Pei-pei, Fa Zeng Li, Xian Gao, Yan Hai, De Ming Wang","Taiwan, Hong Kong, United States, China",2019-03-01,2000,PG-13,120 min,"Action & Adventure, International Movies, Romantic Movies",A young woman in ancient China longs for an adventurous life rather than a dull arranged marriage in Ang Lee's Oscar-winning martial arts epic.
s2838,Movie,How It Ends,David M. Rosenthal,"Theo James, Forest Whitaker, Kat Graham, Nicole Ari Parker, Mark O'Brien, Grace Dove",United States,2018-07-13,2018,TV-MA,113 min,"Action & Adventure, Sci-Fi & Fantasy","When a mysterious disaster turns the country into a war zone, a young lawyer heads west with his future father-in-law to find his pregnant fiancée."
s3284,Movie,Kabir Singh,Sandeep Reddy Vanga,"Shahid Kapoor, Kiara Advani, Suresh Oberoi, Arjan Bajwa, Adil Hussain, Nikita Dutta, Kamini Kaushal, Anurag Arora",India,2019-09-19,2019,TV-MA,171 min,"Dramas, International Movies, Romantic Movies","An exalted but short-fused surgeon plunges into a spiral of drugs, alcohol and rage after his intense relationship with his girlfriend turbulently ends."
s7410,Movie,Very Big Shot,Mir-Jean Bou Chaaya,"Alain Saadeh, Fouad Yammine, Tarek Yaacoub, Alexandra Kahwaji, Wissam Fares, Georges Hayeck, Fadi Abi Samra, Marcel Ghanem","Lebanon, Qatar",2017-01-12,2015,TV-MA,109 min,"Comedies, Dramas, International Movies","When three brothers struggling to go straight become targets of a criminal underworld, they use the making of a movie as a front to transport drugs."
s7156,Movie,Tope: The Bait,Buddhadev Dasgupta,"Sudipto Chattopadhyay, Chandan Roy Sanyal, Kajal Kumari, Ananya Chatterjee, Paoli Dam, Malobika Banerjee, Pawan Kanodia",India,2018-03-01,2016,TV-14,87 min,"Dramas, Independent Movies, International Movies","The tales of an eccentric aristocrat, a tightrope walking nomad and a postman-turned-soothsayer unspool in this visual poem of rural life in India."
s1723,Movie,Detour,Christopher Smith,"Tye Sheridan, Bel Powley, Emory Cohen, Gbenga Akinnagbe, Jared Abrahamson, John Lynch, Stephen Moyer","United Kingdom, South Africa",2017-05-25,2016,R,97 min,Thrillers,"Convinced his stepfather caused the crash that left his mother in a coma, a law student drunkenly agrees to his murder, then can't rescind the deal."
s3050,Movie,Ip Man 3,Wilson Yip,"Donnie Yen, Zhang Jin, Lynn Hung, Patrick Tam, Karena Ng, Kent Cheng, Bryan Leung, Louis Cheung, Danny Chan, Mike Tyson, Babyjohn Choi","China, Hong Kong",2016-06-18,2015,PG-13,105 min,"Action & Adventure, Dramas, International Movies","Martial arts master Ip springs into action when his son's school is threatened by a shady American, then defends his status as wing chun champion."
s6147,Movie,The Bling Ring,Sofia Coppola,"Emma Watson, Leslie Mann, Carlos Miranda, Israel Broussard, Taissa Farmiga, Katie Chang, Georgia Rock, Claire Julien","United States, United Kingdom, France, Germany, Japan",2020-01-18,2013,R,91 min,"Dramas, Independent Movies","Based on fact, this comic thriller tracks the saga of the Hollywood Hills Burglar Bunch, who used the Web to time their robberies of stars' homes."
s628,Movie,Austin Powers: The Spy Who Shagged Me,Jay Roach,"Mike Myers, Heather Graham, Michael York, Robert Wagner, Rob Lowe, Seth Green, Mindy Sterling, Verne Troyer, Elizabeth Hurley, Will Ferrell",United States,2019-12-01,1999,PG-13,95 min,"Action & Adventure, Comedies, Sci-Fi & Fantasy","When diabolical genius Dr. Evil travels back in time to steal superspy Austin Powers's ""mojo,"" Austin must return to the swingin' '60s himself."
s5268,Movie,Romeo Akbar Walter,Robbie Grewal,"John Abraham, Jackie Shroff, Mouni Roy, Sikander Kher, Raghuvir Yadav, Alka Amin, Rajesh Shringarpure, Anil George",India,2019-06-30,2019,TV-14,141 min,"Dramas, International Movies, Thrillers","In 1971, a fallen army major’s son is tapped by India's Research and Analysis Wing to serve as an undercover agent in Pakistan in the lead-up to war."
s834,Movie,Beneath the Leaves,Adam Marino,"Mira Sorvino, Kristoffer Polaha, Doug Jones, Paul Sorvino, Aaron Farb, Ser'Darius Blain, Christopher Backus, Christopher Masterson, Tommy Kijas, Kee Seymore, Marla Adams",United States,2019-06-08,2019,TV-MA,90 min,"Independent Movies, Thrillers","An escaped psychopathic child killer faces off against one of his former victims, who has since become a hard-nosed detective."
s5081,Movie,Rajma Chawal,Leena Yadav,"Rishi Kapoor, Anirudh Tanwar, Amyra Dastur, Jitendra Shastri, Aparshakti Khurana, Harish Khanna, Manu Rishi Chadha, Nirmal Rishi, Sheeba Chaddha, Adil Hussain, Rahul Ram, Mukesh Chhabra",India,2018-11-30,2018,TV-MA,119 min,"Comedies, Dramas, International Movies","Hoping to revive his relationship with his resentful millennial son, an internet-rookie widower assumes the online persona of a young woman."
s5004,Movie,Punjab 1984,Anurag Singh,"Diljit Dosanjh, Kiron Kher, Sonam Bajwa, Pavan Malhotra, Rana Ranbir, Vishwas Kini, Manav Vij, Vansh Bhardwaj","Canada, India",2017-11-01,2014,TV-14,158 min,"Dramas, International Movies","During a time of political turmoil, a mother goes on a journey in search of her missing son, who has been misjudged and labeled a terrorist."
s5978,Movie,Tamanchey,Navneet Behal,"Nikhil Dwivedi, Richa Chadha, Damandeep Singh Baggan, Vijay Pande, Talib Mehdi, Tushar Phulke, Mahesh Gupta, Prasad Labhe",India,2017-10-15,2014,TV-MA,111 min,"Action & Adventure, International Movies, Romantic Movies",A man and a woman on the run from the law are drawn to each other through the common bond of their mutual dependency.
s4546,TV Show,Nowhere Man,DJ Chen,"Alyssa Chia, Mavis Fan, Joseph Chang, Wang Po-chieh, Jeremiah Zhang, Chou Min-fu, Greg Hsu, Kuo Tze-cheng, Shen Hai-jung, Lu Yi-long",Taiwan,2019-10-31,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure","Two nefarious schemes taking place 10 years apart entangle a dauntless triad member, who must break out of prison to rescue a loved one."
s6181,Movie,The Bridge,Kunle Afolayan,"Chidinma Ekile, Ademola Adedoyin, Kunle Afolayan, Zack Orji, Tina Mba, Ayo Akinwale, Akim Mogaji, Ayo Mogaji, Ken Erics",Nigeria,2019-09-01,2017,TV-14,119 min,"Dramas, International Movies, Romantic Movies",A Yoruba prince and a young lady from a prominent Igbo family face tribal prejudice and parental pressure when they secretly wed.
s7032,Movie,Theater of Life,Peter Svatek,Massimo Bottura,Canada,2017-07-18,2016,TV-PG,94 min,Documentaries,This documentary follows chef Massimo Bottura as he opens a soup kitchen to cook gourmet meals for the needy from food waste at the 2015 Milan Expo.
s3298,Movie,Kaminey,Vishal Bhardwaj,"Shahid Kapoor, Priyanka Chopra, Deb Mukherjee, Shivkumar Subramaniam, Chandan Roy Sanyal, Hrishikesh Joshi, Amole Gupte, Patricia Bull, Carlos Paca, Eric Santos",India,2018-10-01,2009,TV-14,128 min,"Dramas, International Movies, Music & Musicals","A young man pursues his dreams of wealth by breaking the law, while his twin brother tries to better his life through hard work and honesty."
s3233,Movie,Judge Singh LLB,Atharv Baluja,"Ravinder Grewal, B.N. Sharma, Sardar Sohi, Chandan Prabhakar, Anita Devgan, Harpal Singh, Hardeep Gill, Surbhi Mahendru",India,2018-10-01,2015,TV-PG,137 min,"Comedies, Dramas, International Movies","Framed by a politician for committing murder, a lower-class boy hires the only counsel he can afford: a lawyer with no courtroom experience."
s988,Movie,Blood Money,Vishal Mahadkar,"Manish Chaudhary, Kunal Kemmu, Amrita Puri, Shekar Shukla, Teeshay, Mia Evonne Uyeda",India,2020-07-05,2012,TV-14,110 min,"Dramas, International Movies, Romantic Movies","Ambitious Kunal takes a job in the diamond business, but his life is thrown into turmoil when he's drawn into the seedy underworld of his new career."
s5033,Movie,Queen of the Desert,Werner Herzog,"Nicole Kidman, James Franco, Damian Lewis, Jay Abdo, Robert Pattinson, Jenny Agutter, David Calder, Christopher Fulford, Nick Waring, Holly Earl, Sophie Linfield","United States, Morocco",2019-04-06,2015,PG-13,128 min,Dramas,"Driven beyond the bounds of convention, adventurer Gertrude Bell leaves turn-of-the-century Britain behind for the deserts of the Middle East."
s6941,Movie,The Trial of the Chicago 7,Aaron Sorkin,"Sacha Baron Cohen, Eddie Redmayne, Yahya Abdul-Mateen II, Jeremy Strong, Mark Rylance, Joseph Gordon-Levitt, Michael Keaton, Frank Langella, John Carroll Lynch, Alex Sharp, John Doman, Ben Shenkman","United States, United Kingdom, India",2020-10-16,2020,R,130 min,Dramas,What was supposed to be a peaceful protest turned into a violent clash with the police. What followed was one of the most notorious trials in history.
s5799,Movie,Starsky & Hutch,Todd Phillips,"Ben Stiller, Owen Wilson, Vince Vaughn, Juliette Lewis, Snoop Dogg, Fred Williamson, Jason Bateman, Amy Smart, Carmen Electra, George Cheung",United States,2019-07-01,2004,PG-13,101 min,"Action & Adventure, Comedies",New undercover cop partners Starsky and Hutch must overcome their differences to solve an important case with help from street informant Huggy Bear.
s2708,Movie,Hero,Corey Yuen,"Takeshi Kaneshiro, Yuen Biao, Valerie Chow, Jessica Hester Hsuan, Tak Yuen, Wah Yuen, Corey Yuen","Hong Kong, China",2018-08-01,1997,TV-MA,89 min,"Action & Adventure, International Movies","A pugilist from Shantung struggles to rise to the top of the Shanghai triad ladder, where his stellar martial arts talents can shine."
s7737,Movie,Young Adult,Jason Reitman,"Charlize Theron, Patton Oswalt, Patrick Wilson, Elizabeth Reaser, Jill Eikenberry, Mary Beth Hurt, Collette Wolfe, Richard Bekins, Kate Nowlin",United States,2019-11-20,2011,R,94 min,"Comedies, Dramas, Independent Movies","When a divorced writer gets a letter from an old boyfriend announcing his wife's had a baby, she returns to her hometown to reconnect with her ex."
s115,Movie,4L,Gerardo Olivares,"Jean Reno, Hovik Keuchkerian, Susana Abaitua, Juan Dos Santos, Arturo Valls, Enrique San Francisco, Francesc Garrido, Eric Nguyen",Spain,2019-07-12,2019,TV-MA,105 min,"Comedies, Dramas, Independent Movies","Hoping to reunite with a dying friend, two longtime pals re-create their desert road trip from Spain to Mali, bringing along his estranged daughter."
s1675,Movie,Death Race: Beyond Anarchy,Don Michael Paul,"Zach McGowan, Danny Glover, Frederick Koehler, Danny Trejo, Christine Marzano, Cassie Clare, Yennis Cheung, Lucy Aarden","United States, Bulgaria",2018-10-02,2017,R,111 min,Action & Adventure,"An ex-racecar driver is sent to a barbaric prison where, to get pardoned, he must defeat the inmate known as Frankenstein in a lethal ""Death Race."""
s2993,Movie,Indiana Jones and the Raiders of the Lost Ark,Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman, Ronald Lacey, John Rhys-Davies, Denholm Elliott, Alfred Molina, Wolf Kahler, Anthony Higgins, Vic Tablian",United States,2019-01-01,1981,PG,116 min,"Action & Adventure, Children & Family Movies, Classic Movies","When Indiana Jones is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime."
s1113,Movie,Brother,Julien Abraham,"MHD, Darren Muselet, Aïssa Maïga, Jalil Lespert, Youssouf Gueye, Hiam Abbass, Lisette Malidor",France,2019-11-22,2019,TV-MA,97 min,"Dramas, Independent Movies, International Movies","Thrust from a violent home into a brutal custody center, a teenager learns to navigate a tough new reality and forge unlikely alliances to survive."
s7367,Movie,Up Among  The Stars,Zoe Berriatúa,"Luis Callejo, Jorge Andreu, Macarena Gómez, Magüi Mira, Álvaro Roig, María Morales, José Luis García Pérez, Kiti Mánver, Ingrid García Jonsson, Liz Lobato",Spain,2019-01-29,2018,TV-MA,86 min,"Dramas, International Movies, Sci-Fi & Fantasy","A grieving filmmaker struggling to keep custody of his young son after his wife's death uses magical, imaginary stories to maintain their bond."
s5869,Movie,Suckseed,Chayanop Boonprakob,"Jirayu La-ongmanee, Pachara Chirathivat, Nattasha Nauljam, Thawat Pornrattanaprasert",Thailand,2018-09-05,2011,TV-MA,130 min,"Comedies, International Movies, Music & Musicals","When his boyhood crush Ern returns, Ped forms a band with his friend to impress her. Romantic rivalries bloom after the talented Ern joins the group."
s6777,Movie,The Prince & Me,Martha Coolidge,"Julia Stiles, Luke Mably, Ben Miller, Miranda Richardson, James Fox, Alberta Watson, John Bourgeois, Zachary Knighton, Eliza Bennett","United States, Czech Republic",2020-10-01,2004,PG,111 min,"Comedies, Romantic Movies","A hardworking Wisconsin college student falls for her arrogant yet charming classmate, unaware that he's a Danish prince attending school incognito."
